15.986	16.006	17.604
23.958	23.976	25.388
31.824	31.840	33.128
39.628	39.642	40.844
47.394	47.410	48.550
55.136	55.160	56.244	
62.856	62.878	63.918
70.552	70.574	71.570
78.236	78.256	79.218
85.912	85.934	86.868
93.586	93.606	94.520
101.248	101.268	102.158
108.896	108.914	109.782
116.538	116.560	117.404
124.180	124.200	125.030
131.822	131.842	132.626
139.458	139.476	140.278
147.086	147.106	147.892
154.710	154.730	155.502
162.328	162.348	163.104
169.944	169.964	170.710
177.572	177.592	178.330
185.184	185.204	185.928
192.79	192.808	193.534
