a,k
0.462909,7.897635
0.379125,15.000630
0.346059,22.059800
0.328651,29.060695
0.317266,35.992365
0.309605,42.895766
0.303406,49.768883
0.298737,56.639532
0.294994,63.492931
0.291849,70.310629
0.289166,77.133977
0.286893,83.962577
0.284920,90.771605
0.283214,97.590912
0.281756,104.397078
0.280350,111.200799
0.279146,117.964081
0.277979,124.773470
0.277001,131.568518
0.276029,138.349085
0.275187,145.133267
0.274413,151.921848
0.273715,158.684130
0.273013,165.461222
0.272390,172.230571
0.271843,179.014626
0.271252,185.765034
0.270732,192.542442
0.270266,199.302977
0.269785,206.059154
