a,k
0.447426,8.437614
0.369382,15.930280
0.339711,23.348113
0.323298,30.754721
0.312770,38.114964
0.305269,45.425311
0.299753,52.731508
0.295341,59.988580
0.291883,67.238869
0.289020,74.497381
0.286621,81.749253
0.284472,88.996435
0.282646,96.200178
0.281005,103.438146
0.279559,110.678706
0.278290,117.884705
0.277113,125.100446
0.276111,132.286620
0.275187,139.491538
0.274306,146.709202
0.273540,153.909442
0.272808,161.096926
0.272132,168.293587
0.271563,175.492348
0.270884,182.663504
0.270338,189.862190
0.269828,197.041529
