15.082	15.136	16.810
22.646	22.722	24.182
30.122	30.170	31.512
37.494	37.562	38.814
44.846	44.914	46.090
52.168	52.236	53.354
59.470	59.534	60.608
66.756	66.820	67.856
74.030	74.092	75.096
81.294	81.352	82.330
88.544	88.606	89.552
95.786	95.848	96.768
103.020	103.080	103.976
110.248	110.306	111.182
117.472	117.526	118.386
124.692	124.752	125.588
131.906	131.966	132.788
139.120	139.178	139.986
146.330	146.388	147.188
153.536	153.594	154.376
160.736	160.796	161.562
167.938	167.998	168.756
175.144	175.202	175.952
182.324	182.382	183.112
189.514	189.572	190.304
196.724	196.780	197.440

