a,k
0.419775,9.229717
0.353504,17.557331
0.327783,25.848532
0.313475,34.076890
0.304580,42.232880
0.298467,50.370060
0.293405,58.515287
0.289549,66.634131
0.286416,74.720950
0.283980,82.807737
0.281865,90.889749
0.279954,98.972946
0.278418,107.027232
0.277009,115.105507
0.275750,123.161110
0.274736,131.217770
0.273724,139.260105
0.272797,147.301314
0.271921,155.331542
0.271219,163.383414
0.270515,171.429102
0.269931,179.455345
0.269324,187.487918
0.268786,195.515449
0.268226,203.537604
